id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
5TWL2K9Q9QuUTW15I6ZLpP,0.717,0.705,4,-4.944,0,0.125,0.00369,0.461,0.0701,0.554,97.036,204400,4,studio
76juDmdOF5jly6YlTcmSnJ,0.747,0.711,6,-4.148,1,0.0958,0.0418,0.00482,0.217,0.647,127.972,204370,3,studio
5l0RudD17f3y9vwhgr2obT,0.812,0.754,10,-3.772,1,0.101,0.189,0,0.135,0.857,124.981,201680,4,studio
3QI96xFA7pHph2AwHu3rYT,0.715,0.372,4,-5.669,0,0.0803,0.00128,4.25e-05,0.113,0.4,102.048,211267,3,studio
4TngvmKrWchN2SoL72eudc,0.877,0.634,6,-3.207,1,0.0323,0.0139,7.62e-05,0.123,0.404,108.998,286560,4,studio
7r7M8ZN5NVHxxFdkUzSKYQ,0.93,0.528,8,-4.139,1,0.0903,0.152,0,0.356,0.22,127.932,196875,4,studio
7GpPm7pd4x52tLWSvh9hAD,0.964,0.595,0,-3.521,1,0.0948,0.000911,0,0.125,0.714,129.973,236333,4,studio
2G6ovzv7TOm8lZL1kQlYi8,0.673,0.926,9,-6.959,1,0.109,0.00549,6.1e-05,0.296,0.96,123.007,208960,4,studio
1dzQoRqT5ucxXVaAhTcT0J,0.739,0.822,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,241933,4,studio
3SC4yUuwlSL8NvsYgo7B0M,0.917,0.613,5,-2.549,1,0.054,0.0222,5.86e-06,0.105,0.538,131.007,200253,4,studio
7uSsHbBFFAnkRQR1rDwP3L,0.865,0.562,7,-6.476,0,0.0922,2.06e-05,0.591,0.219,0.35,124.047,205973,4,studio
71iym9c1arIh8nDcSVXugu,0.467,0.29,3,-6.993,1,0.031,0.553,0,0.0976,0.246,156.298,234613,4,studio
7rESBzoqp0FGxElzjRuMDB,0.881,0.57,7,-5.223,1,0.0516,0.00376,1.15e-06,0.546,0.356,128.078,219833,4,studio
7m2g1kKuF7Tre2PzjK3Lnh,0.563,0.766,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,230640,4,studio
7jk7gqyEonmVVYahZN5zhW,0.733,0.791,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,192360,4,studio
57iDDD9N9tTWe75x6qhStw,0.917,0.356,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,357267,4,studio
6utKZ21ASljZWbC5nDzIYo,0.69,0.318,9,-6.174,1,0.0326,0.421,0.0132,0.108,0.37,149.843,222080,4,studio
64BbK9SFKH2jk86U3dGj2P,0.795,0.458,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4,studio
1brwdYwjltrJo7WHpIvbYt,0.651,0.589,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,212627,4,studio
0k93MXOj0kSXo84SvSDeUz,0.711,0.689,8,-5.027,0,0.0455,0.00714,0.000499,0.135,0.566,115.048,206320,4,studio
5bcTCxgc7xVfSaMV3RuVke,0.745,0.893,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,223413,4,studio
0uVyZywUNOp6S0dU5r8TS8,0.886,0.76,9,-5.356,0,0.0258,0.0219,7.43e-06,0.623,0.78,123.002,189399,4,studio
1pDDDtySN1U57vTmCexPmu,0.782,0.672,11,-5.648,0,0.0322,0.00217,0.000926,0.169,0.0898,124.026,210421,4,studio
22mek4IiqubGD9ctzxc69s,0.868,0.738,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,212640,4,studio
4PkJ7c9y1CwpuVOiJODnCZ,0.858,0.455,11,-5.659,0,0.0391,0.000616,0.000247,0.226,0.597,163.118,207467,4,studio
1G391cbiT3v3Cywg8T7DM1,0.717,0.595,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907,4,studio
2fbXJ0VpxhW7j0qcg1DnoZ,0.376,0.766,10,-8.622,0,0.0267,0.252,0.00861,0.0908,0.257,109.944,239120,4,studio
5O4erNlJ74PIF6kGol1ZrC,0.72,0.916,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,237000,4,studio
0mtRsLLBnXSlrst4eZaMhk,0.472,0.937,11,-11.029,0,0.3,0.138,4.91e-05,0.117,0.745,123.674,211000,4,studio
423hwXFgoN8RYmqLoLuVvY,0.675,0.655,1,-9.352,1,0.0599,0.272,0.0236,0.727,0.587,77.589,427800,4,studio
1P49MJhU5vzttesFxw3dOM,0.487,0.807,9,-10.456,1,0.0758,0.0102,1.98e-06,0.0501,0.651,148.491,180267,4,studio
3sqZDdEO5viqNqMCNem5m5,0.462,0.76,9,-11.003,1,0.103,0.621,0.32,0.0758,0.905,146.655,332400,4,studio
7BfW1eoDh27W69nxsmRicb,0.463,0.929,9,-8.651,1,0.308,0.142,5.26e-06,0.0634,0.757,124.084,255840,4,studio
3vNAp1lfDhAIt9bRdkwFab,0.776,0.551,2,-7.551,1,0.0411,0.116,0.000555,0.12,0.503,81.023,203715,4,studio
1SssFw74DdHVjRa6ADggdD,0.728,0.787,0,-7.705,1,0.218,0.0124,0,0.157,0.94,173.026,227067,4,studio
2mSc8PnYodyYi3SkdfU4jT,0.611,0.853,0,-4.678,1,0.07,0.0645,0,0.319,0.687,94.752,227600,4,studio
5HJTlCbUnp1G5lMrlrlBSI,0.714,0.81,2,-3.966,1,0.243,0.0637,0,0.237,0.561,112.968,296187,4,studio
3ApzL0BqybGM81kbc6VEv3,0.848,0.846,9,-2.573,1,0.178,0.207,0,0.227,0.733,104.017,238760,4,studio
67A8bOJJ4hsIJRKJqk0pkQ,0.644,0.706,7,-4.273,1,0.0337,0.208,0,0.0889,0.277,113.075,268120,4,studio
1g5x7p958oDWxX3cAwdRHm,0.598,0.487,6,-6.667,1,0.467,0.263,4.36e-05,0.445,0.641,85.045,235413,4,studio
