id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
2PB1dt4W3Q8Tc8FIYR9nfD,0.898,0.49,4,-4.641,0,0.129,0.0796,0,0.948,0.338,128.022,269133,4,live
7IWZEj9FJkroEq4rUSw0OW,0.942,0.515,0,-5.971,0,0.0643,0.000784,0.00593,0.968,0.148,127.238,343599,4,live
2MmrEsExH4Hep9vKPV7tSS,0.973,0.33,11,-6.823,1,0.119,0.00325,1.63e-05,0.97,0.318,120.082,301756,4,live
0EqiRjPJ0SAXwHv5qFNciu,0.737,0.388,7,-13.753,0,0.0521,0.79,0.0251,0.975,0.912,167.559,214427,4,live
5MiWxrGsAOrXqZMZIvgtV0,0.905,0.193,2,-6.215,1,0.0758,0.00202,0.000711,0.877,0.453,159.415,163813,4,live
1kJIUu4t43CkKkoC3ER5WT,0.923,0.294,4,-12.239,0,0.212,0.198,0.000128,0.992,0.208,135.384,184787,4,live
1hsSx59pPYarUKWMJEpA3Z,0.468,0.293,7,-10.575,1,0.0723,0.89,0.0268,0.77,0.775,171.051,173907,4,live
4U7ue4PGXpYxxtBHgkCSsm,0.839,0.303,9,-6.725,1,0.0684,0.0116,0.00657,0.691,0.298,81.217,285280,4,live
3ST6GfWwNfWOXWzGH0UZ6Q,0.568,0.399,2,-9.143,1,0.037,0.571,0.000461,0.759,0.398,122.78,307547,4,live
6lWVi0HzSvyxyoEoOv0khX,0.903,0.484,0,-7.004,1,0.144,0.246,0,0.943,0.805,137.483,358733,4,live
4eED1awQbzXgwRv7QdZYuL,0.725,0.473,0,-8.003,1,0.0359,0.238,0.00422,0.677,0.911,145.271,305147,4,live
1HFUjul1k9uxFMrOCi8jVx,0.548,0.476,5,-13.065,1,0.0375,0.21,0.000181,0.939,0.566,128.572,462067,4,live
0BkxJGRIYnGxkfYX1G8dJo,0.882,0.26,8,-10.704,0,0.0566,1.06e-05,0.316,0.745,0.369,91.039,180000,4,live
4uexN8lwDjGX5SQycpz97I,0.729,0.457,2,-12.951,1,0.0386,0.164,0.0591,0.978,0.539,145.139,192800,4,live
3lYM0ZNXLG2276Wcoj0pyz,0.804,0.357,0,-5.13,1,0.0433,0.365,0,0.869,0.358,123.044,326267,3,live
2QDXMFsjWp3tL8rmZzSf3M,0.796,0.176,0,-8.025,1,0.0404,0.00518,0.000215,0.697,0.36,172.522,248027,3,live
5lD8oaJvXIEFCojJY88cyr,0.64,0.537,6,-7.975,1,0.0573,0.223,3.95e-05,0.303,0.316,121.8,259773,4,live
0kb8HRzGD9qHgDQbJFxk77,0.832,0.392,8,-7.679,1,0.0646,0.707,0.000701,0.705,0.872,168.81,267581,4,live
14EOQhsx4YEn8jKkBWK3ZE,0.331,0.614,7,-13.603,1,0.0248,0.279,0.00144,0.706,0.376,92.618,232400,4,live
